ID,Class,Spec,ilvl,M+,WCL
전사잠탱이,Warrior,Protection,726,"2,995.5",58.41
업보맹,Monk,Brewmaster,725,"3,001.4",74.89
리쉽,Druid,Restoration,727,"3,820.3",95.17
고급여미새,Shaman,Restoration,725,"2,938.2",93.95
하얀차,Priest,Holy,729,"3,058.0",93.08
용불타,Evoker,Preservation,725,"2,988.4",75.42
탑골공원체스왕,Druid,Balance,727,"3,275.5",76.61
냥꾼린츠,Hunter,BeastMastery,728,"3,050.2",87.16
특임시키면눕는다,Hunter,BeastMastery,729,"2,972.8",94.84
헌터륑,Hunter,Marksmanship,724,"3,170.8",61.48
만보먹고,Mage,Fire,729,"3,424.5",90.71
치앤,Mage,Fire,727,"2,998.7",77.99
보라발굽,Warlock,Destruction,725,"3,025.7",30.11
메오,Warlock,Destruction,728,"2,033.4",95.79
보소밍,Evoker,Devastation,729,"2,960.7",90.79
수입신고필증,Priest,Shadow,726,"2,773.3",61.56
죽탄야,Deathknight,Frost,726,"3,033.6",70.13
Yoahjung,Deathknight,Frost,723,"3,082.7",73.59
킹스,Paladin,Retribution,715,"2,665.5",57.66
악풍,Demonhunter,Havoc,692,"3,447.3",48.83
